CacheSize,BlockSize,Associativity,WriteAlloc,WritePolicy,Replacement,LoadMisses,StoreMisses,TotalCycles,Command
4096,2,8,write-allocate,write-back,fifo,4363,17560,7169883,./csim 4096 2 8 write-allocate write-back fifo < gcc.trace
256,4,4,write-allocate,write-back,lru,7950,28798,7187283,./csim 256 4 4 write-allocate write-back lru < gcc.trace
512,2,4,write-allocate,write-back,lru,9445,29231,7465283,./csim 512 2 4 write-allocate write-back lru < gcc.trace
512,8,16,write-allocate,write-back,lru,2660,8923,7609683,./csim 512 8 16 write-allocate write-back lru < gcc.trace
128,8,4,write-allocate,write-back,fifo,9784,29641,7613383,./csim 128 8 4 write-allocate write-back fifo < gcc.trace
64,16,4,write-allocate,write-back,fifo,9809,29674,7615383,./csim 64 16 4 write-allocate write-back fifo < gcc.trace
64,8,4,write-allocate,write-back,lru,9806,29723,7620783,./csim 64 8 4 write-allocate write-back lru < gcc.trace
1024,4,16,write-allocate,write-back,lru,2692,8925,7620883,./csim 1024 4 16 write-allocate write-back lru < gcc.trace
256,16,16,write-allocate,write-back,lru,2649,8921,7621683,./csim 256 16 16 write-allocate write-back lru < gcc.trace
2048,2,16,write-allocate,write-back,lru,2763,8948,7662083,./csim 2048 2 16 write-allocate write-back lru < gcc.trace
256,4,4,write-allocate,write-back,fifo,9994,29778,7668383,./csim 256 4 4 write-allocate write-back fifo < gcc.trace
4096,1,32,write-allocate,write-back,fifo,2259,4648,7678083,./csim 4096 1 32 write-allocate write-back fifo < gcc.trace
4096,1,32,write-allocate,write-back,lru,2259,4648,7678083,./csim 4096 1 32 write-allocate write-back lru < gcc.trace
256,16,16,write-allocate,write-back,fifo,2815,8978,7764883,./csim 256 16 16 write-allocate write-back fifo < gcc.trace
512,8,16,write-allocate,write-back,fifo,2843,8979,7766483,./csim 512 8 16 write-allocate write-back fifo < gcc.trace
1024,4,16,write-allocate,write-back,fifo,2863,8987,7772083,./csim 1024 4 16 write-allocate write-back fifo < gcc.trace
128,4,4,write-allocate,write-back,lru,10766,29976,7798383,./csim 128 4 4 write-allocate write-back lru < gcc.trace
2048,2,16,write-allocate,write-back,fifo,2927,9001,7803283,./csim 2048 2 16 write-allocate write-back fifo < gcc.trace
512,2,4,write-allocate,write-back,fifo,10893,29996,7824583,./csim 512 2 4 write-allocate write-back fifo < gcc.trace
2048,1,4,write-allocate,write-back,fifo,11943,30184,7892583,./csim 2048 1 4 write-allocate write-back fifo < gcc.trace
2048,1,4,write-allocate,write-back,lru,11943,30184,7892583,./csim 2048 1 4 write-allocate write-back lru < gcc.trace
512,8,8,write-allocate,write-back,lru,4346,17509,7933483,./csim 512 8 8 write-allocate write-back lru < gcc.trace
